0;14;3.45;4.06;
1;24;3.13;7.66;
2;36;3.19;11.27;
3;44;3.26;13.49;
4;48;3.06;15.67;
5;52;3.27;15.91;
6;54;3.16;17.11;
7;56;3.17;17.64;
8;58;3.34;17.36;
9;60;3.30;18.16;
10;62;3.42;18.14;
11;62;3.01;20.62;
12;66;3.44;19.16;
13;68;3.08;22.09;
14;70;3.15;22.22;
15;72;3.23;22.30;
16;74;3.31;22.37;
17;76;3.38;22.46;
18;78;3.47;22.51;
19;78;3.06;25.53;
20;62;3.03;20.47;
21;62;3.01;20.60;
22;62;3.04;20.41;
23;62;3.03;20.43;
24;62;3.00;20.64;
25;64;3.09;20.73;
26;62;3.02;20.52;
27;62;3.03;20.48;
28;62;3.02;20.55;
29;76;3.01;25.27;
30;78;3.06;25.46;
31;78;3.08;25.36;
32;78;3.06;25.50;
33;78;3.07;25.41;
34;78;3.04;25.64;
35;76;3.00;25.33;
36;78;3.07;25.40;
37;72;3.06;23.49;
38;62;3.03;20.45;
39;62;3.02;20.51;
40;62;3.04;20.42;
41;64;3.09;20.69;
42;62;3.01;20.61;
43;64;3.09;20.72;
44;62;3.00;20.65;
45;62;3.02;20.53;
46;62;3.03;20.44;
47;78;3.07;25.40;
48;78;3.08;25.33;
49;78;3.07;25.43;
50;78;3.07;25.44;
51;78;3.08;25.34;
52;78;3.08;25.36;
53;76;3.01;25.29;
54;78;3.05;25.54;
55;64;3.09;20.70;
56;62;3.05;20.34;
57;62;3.03;20.45;
58;62;3.02;20.53;
59;62;3.03;20.45;
60;62;3.01;20.58;
61;64;3.09;20.71;
62;62;3.02;20.50;
63;64;3.09;20.71;
64;66;3.08;21.46;
65;78;3.03;25.74;
66;80;3.45;23.17;
67;80;3.04;26.31;
68;78;3.01;25.94;
69;78;3.03;25.78;
70;78;3.00;26.00;
71;78;3.01;25.89;
72;78;3.02;25.81;
73;62;3.02;20.56;
74;64;3.09;20.74;
75;64;3.08;20.76;
76;64;3.09;20.68;
77;64;3.05;20.99;
78;64;3.04;21.04;
79;64;3.06;20.92;
80;64;3.09;20.70;
81;64;3.05;21.01;
82;78;3.01;25.89;
83;78;3.02;25.82;
84;78;3.03;25.73;
85;80;3.07;26.07;
86;80;3.07;26.02;
87;78;3.02;25.82;
88;78;3.04;25.65;
89;78;3.07;25.44;
90;70;3.01;23.28;
91;64;3.10;20.66;
92;62;3.01;20.58;
93;64;3.08;20.78;
94;64;3.06;20.94;
95;62;3.01;20.61;
96;64;3.05;20.96;
97;64;3.09;20.74;
98;64;3.06;20.91;
99;64;3.05;20.96;
