0;14;3.44;4.07;
1;24;3.11;7.71;
2;36;3.28;10.98;
3;44;3.23;13.61;
4;48;3.11;15.45;
5;52;3.30;15.74;
6;54;3.17;17.04;
7;56;3.11;18.01;
8;58;3.26;17.78;
9;60;3.32;18.09;
10;62;3.49;17.79;
11;64;3.10;20.63;
12;68;3.48;19.56;
13;70;3.08;22.74;
14;72;3.18;22.67;
15;74;3.29;22.46;
16;76;3.36;22.60;
17;78;3.43;22.74;
18;78;3.03;25.73;
19;72;3.09;23.34;
20;64;3.03;21.10;
21;64;3.09;20.70;
22;64;3.07;20.85;
23;64;3.05;20.97;
24;64;3.09;20.72;
25;64;3.06;20.91;
26;64;3.05;21.01;
27;64;3.06;20.91;
28;64;3.05;21.00;
29;78;3.03;25.78;
30;78;3.02;25.80;
31;80;3.44;23.24;
32;78;3.02;25.79;
33;78;3.01;25.88;
34;78;3.05;25.60;
35;78;3.05;25.58;
36;78;3.03;25.74;
37;64;3.09;20.68;
38;64;3.08;20.76;
39;64;3.07;20.87;
40;64;3.09;20.68;
41;62;3.00;20.66;
42;64;3.08;20.75;
43;64;3.09;20.69;
44;64;3.06;20.89;
45;62;3.03;20.49;
46;78;3.06;25.50;
47;78;3.05;25.61;
48;78;3.07;25.42;
49;78;3.05;25.60;
50;78;3.02;25.85;
51;78;3.06;25.52;
52;78;3.03;25.72;
53;78;3.05;25.59;
54;72;3.08;23.41;
55;64;3.08;20.78;
56;64;3.10;20.67;
57;62;3.03;20.44;
58;62;3.02;20.54;
59;62;3.02;20.55;
60;62;3.01;20.62;
61;64;3.09;20.73;
62;62;3.01;20.58;
63;62;3.03;20.44;
64;78;3.04;25.66;
65;78;3.06;25.46;
66;78;3.02;25.79;
67;78;3.06;25.48;
68;78;3.07;25.43;
69;78;3.06;25.47;
70;78;3.06;25.52;
71;78;3.05;25.56;
72;62;3.01;20.58;
73;62;3.01;20.60;
74;64;3.05;20.98;
75;64;3.09;20.69;
76;62;3.02;20.54;
77;64;3.08;20.75;
78;64;3.07;20.87;
79;64;3.06;20.90;
80;62;3.01;20.59;
81;70;3.06;22.84;
82;80;3.03;26.44;
83;82;3.45;23.75;
84;80;3.04;26.27;
85;78;3.04;25.69;
86;78;3.04;25.67;
87;78;3.05;25.60;
88;78;3.05;25.59;
89;76;3.06;24.88;
90;64;3.08;20.80;
91;64;3.09;20.69;
92;64;3.08;20.78;
93;64;3.01;21.23;
94;64;3.01;21.24;
95;64;3.02;21.16;
96;66;3.09;21.39;
97;64;3.07;20.87;
98;64;3.05;20.95;
99;80;3.04;26.35;
